P.S. 19K - Kid's Garden;325 South 3rd Street Brooklyn, NY 11211;40,709647;-73,95465;11211
P.S. 200;2599 7th Avenue.  NY NY 10039;40,824714;-73,936841;10039
P.S. 207/149;34 W. 118th Street;40,80247;-73,946716;10026
P.S. 208;4801 Avenue D  Brooklyn, NY 11234;40,642031;-73,931151;11203
P.S. 226 Garden;1950 Sedgwick Avenue;40,856586;-73,916198;10453
P.S. 23;2175 Washington Avenue;40,853423;-73,894463;10457
P.S. 235;525 Lenox Road, Brooklyn NY 11203;40,654704;-73,941089;11203
P.S. 242;134 West 122nd Street, NY, NY 10027;40,8063;-73,948013;10027
P.S. 243 - Weeksville School;1580 Dean Street;40,676094;-73,935688;11213
P.S. 246;2641 Grand Concourse;40,865593;-73,894758;10468
P.S. 247K;7000 21st Avenue;40,612273;-73,986713;11204
P.S. 249;18 Marlborough Road;40,64971;-73,966046;11226
P.S. 250;108 Montrose Avenue;40,707104;-73,945475;11206
P.S. 268;133 E. 53rd Street;40,657131;-73,928018;11203
P.S. 27 / M.S. 826;27 Huntington Street Brooklyn. NY 11231;40,677564;-74,005166;11231
P.S. 315K;2310 Glenwood  Rd.;40,633232;-73,954655;11210
P.S. 361 - The Children's Garden;East 12th Street;
P.S. 372@834 / The Children's School;219 First Street;40,675628;-73,985634;11215
P.S. 396 / M.S. 390 X;1930 Andrews Avenue, Bronx NY 10453;40,854701;-73,913197;10453
P.S. 399;2707 Albemarle Road;40,648044;-73,951891;11226
P.S. 4 - Duke Ellington Harmony Garden;500 West 160th Street;40,834899;-73,941085;10032
P.S. 4 at P.S. 843;530 Stanley Avenue;40,657212;-73,888852;11207
P.S. 48Q;155-02 108th Avenue;40,694119;-73,797003;11433
P.S. 49Q;79-15 Penelope Avenue;40,719071;-73,875437;11379
P.S. 4K - Paradise Garden;676-696 Glenmore Avenue;40,674778;-73,885228;11207
P.S. 51;520 West 45th Street  NY  NY 10036;40,762061;-73,995307;10036
P.S. 53;522 Bradford Street;40,666063;-73,890503;11207
P.S. 6 - Operation Push;2242-62 Bedford Avenue;40,649347;-73,955793;11226
P.S. 67 - Charles Dorsey School;51 St. Edwards Street;40,695633;-73,978215;11205
P.S. 753K @ The Bklyn. School for Career Development;372 Schermerhorn Street;40,686419;-73,979444;11217
P.S. 76 - Garden of Perserverance;203 W. 120th Street   NY NY 10027;40,80598;-73,951098;10027
P.S. 77K @ P. S 902K;62 Park Place;40,678983;-73,976497;11217
P.S. 86Q;87-41 Parsons Boulevard.;40,708898;-73,803938;11432
P.S. 9 - Enis Garden;58-74 57th Street;40,718935;-73,912208;11378
P.S. 9 - Winston Robins Memorial Garden;80 Underhill Avenue  Broolyn, NY   11328;40,678297;-73,965541;11238
P.S. 9 X;230 East 183rd Street, Bronx NY 10458;40,857067;-73,898936;10458
P.S. 96Q - Garden of Hope;130-01 Rockaway Boulevard.;40,674991;-73,808371;11420
P.S./I.S. 176;4862 Broadway;40,866706;-73,923948;10034
P.S./I.S. 217 - Rooselvelt Island School;645 Main Street;40,763894;-73,947916;10044
Pacific High School;112 Schermerhorn Street;40,690145;-73,989132;11201
Padre Plaza (Success Garden);541-545 E. 139th Street;40,807883;-73,917885;10454
Pagans Garden (Linwood Street Block Association);992 Sutter Avenue;40,671292;-73,882217;11208
Palmas del Caribe (Eagle Avenue Community Garden);869 Eagle Avenue;40,822057;-73,908481;10456
Papos Garden;218-220 E. 119th Street;40,799617;-73,937963;10035
Paradise on Earth Garden;1101-1105 Fox Street;40,82664;-73,893877;10459
Parque De Tranquilidad;314-318 East 4th Street;40,722038;-73,97961;10009
Passages Academy;511 E. 149th Street & 511 E. 150th Street;40,81478;-73,914459;10455
Patchen Avenue United Block Association;49 Patchen Avenue;40,690708;-73,927603;11221
Peaceful Valley;50-52 East 117th Street;40,800487;-73,943961;10035
Peachtree Garden;236-238 East 2nd Street;40,72149;-73,98216;10009
Pembroke Avenue Community Garden (Van Nostrand Court Garden);E/S Pembroke Avenue;
People's Garden (Youth City Little League);1237-1241 Broadway;40,691653;-73,925825;11221
Ponderosa Garden;664 East 105th Street;40,649609;-73,897009;11236
Poppa & Momma Jones Historical Garden;337 Van Siclen Avenue;40,671728;-73,890057;11207
Powell Street Block Association - Powell St;633 Powell Street;40,658459;-73,901057;11212
Powers Street Garden;276-278 Powers Street;40,712955;-73,939721;11211
Preston Community Garden;1711 Park Place;40,671827;-73,920811;11233
Project Roots Garden;94 - 110 Walton St.;40,702631;-73,948631;11206
Prophecy Garden Church of God of Prophecy;43-69 Malta Street;40,659475;-73,895603;11207
Prospect Heights Community Farm;252-256 St. Marks Avenue;40,678319;-73,967513;11238
Pueblo Unido;1659 Madison Avenue;40,796474;-73,9474;10029
Rainbow Block Association.;379 East 159th Street;40,823086;-73,914947;10451
Ralph-Lincoln Service Center;1652-1654 St. John's Place;40,670152;-73,923242;11233
